n-3945951431270L,good, S
1,1, 0
243.8749480149,1
2,1, 0
244.15890691298068,1
3,1, 0
244.3675025848634,1
4,1, 0
244.58857945207208,1
5,1, 0
244.92059950582586,1
6,1, 0
245.08079233287881,1
7,1, 0
245.37071430518859,1
8,1, 0
245.65000739680428,1
9,1, 0
245.91655065008993,1
10,1, 0
246.09380502666446,1
11,1, 0
246.32312342197378,1
12,1, 0
0
13,0, -1, entered gram Block
246.7424183211807,246.85763257596946,2
14,1, 0, exited gram Block: config 02
247.1270084390591,1
15,1, 0
247.25934052902014,1
16,1, 0
247.44275251256144,1
17,1, 0
247.8342557393623,1
18,1, 0
247.94324586359846,1
19,1, 0
248.21477226165152,1
20,1, 0
248.46097763832367,1
21,1, 0
248.8454211922661,1
22,1, 0
248.9958807868911,249.11125333225286,2
23,0, 1, entered gram Block
0
24,1, 0, exited gram Block: config 20
249.4863296798095,1
25,1, 0
249.62567442200304,249.84662910435347,2
26,0, 1, entered gram Block
0
27,1, 0, exited gram Block: config 20
250.25529918952256,1
28,1, 0
250.51268852304608,250.58176022693402,2
29,0, 1, entered gram Block
0
30,1, 0, exited gram Block: config 20
251.06017618564698,1
31,1, 0
251.09508539943397,251.306919355202,2
32,0, 1, entered gram Block
0
33,1, 0, exited gram Block: config 20
251.62429374748942,1
34,1, 0
252.0346709114582,1
35,1, 0
0
36,0, -1, entered gram Block
252.37954016386007,1
37,0, -1
252.61309415271114,1
38,0, -1
252.82300105142846,253.00116575292975,2
39,1, 0, exited gram Block: config 0112
0
40,0, -1, entered gram Block
253.3318661907134,253.44788051957931,2
41,1, 0, exited gram Block: config 02
253.73567397932447,1
42,1, 0
253.84497046055125,1
43,1, 0
254.23716202793426,1
44,1, 0
254.43114995364203,1
45,1, 0
254.62547758071045,1
46,1, 0
254.78841274543322,1
47,1, 0
255.03351830330178,1
48,1, 0
255.28064203291012,255.38384276637285,2
49,0, 1, entered gram Block
0
50,1, 0, exited gram Block: config 20
255.8071180732879,1
51,1, 0
255.9700064659065,1
52,1, 0
256.40691563469653,1
53,1, 0
256.5484587977432,1
54,1, 0
256.85220832484055,1
55,1, 0
257.0794648034743,257.16164836046096,2
56,0, 1, entered gram Block
0
57,1, 0, exited gram Block: config 20
0
58,0, -1, entered gram Block
257.6722564630189,257.71279590594844,2
59,1, 0, exited gram Block: config 02
257.92333276225025,1
60,1, 0
258.17748179883023,258.37433838276655,2
61,0, 1, entered gram Block
0
62,1, 0, exited gram Block: config 20
258.866874784978,1
63,1, 0
258.9793988389866,1
64,1, 0
259.2543599510005,1
65,1, 0
259.5581308899397,1
66,1, 0
259.67155999146877,259.836061279195,2
67,0, 1, entered gram Block
0
68,1, 0, exited gram Block: config 20
260.1856107816837,1
69,1, 0
0
70,0, -1, entered gram Block
260.6187608204486,260.7632104933757,2
71,1, 0, exited gram Block: config 02
261.0016582858428,1
72,1, 0
261.31522681873514,1
