n-999999999998,  zeta 
399, -3.518310
400, 0.874141
401, -4.919380
402, 6.198047
403, 0.579781
404, 0.657118
405, -0.186007
406, 0.075587
407, -1.214042
408, 0.648660
409, -0.769872
410, 0.753444
411, -7.642960
412, 0.483043
413, 0.239922
414, 0.271750
415, -0.830532
416, 1.694410
417, -0.434232
418, 0.164531
419, 0.137378
420, -1.597215
421, 2.431963
422, 0.722007
423, 4.338559
424, 3.153575
425, -19.762235
426, 20.002281
427, 0.457170
428, 13.060819
429, 1.319271
430, -2.560757
431, -2.002436
432, 0.775975
433, 1.517621
434, 0.266126
435, -0.724352
436, 0.671580
437, -0.465804
438, -0.536430
439, -5.807080
440, -0.061469
441, -1.175252
442, 1.808057
443, -2.793339
444, 0.858740
445, 0.079189
446, -0.194892
447, -0.383244
448, -1.434257
449, -5.963517
450, 6.551774
451, -0.042348
452, 0.670855
453, -1.117430
454, -1.166138
455, -7.907444
456, 0.443273
457, -1.937500
458, 1.520930
459, -0.053587
460, -1.715647
461, -7.128407
462, 0.811299
463, -15.682944
464, 0.493465
465, 0.213909
466, 0.626237
467, -1.717901
468, 0.706064
469, -3.355334
470, 4.543479
471, -11.010803
472, -0.297304
473, -2.661177
474, -1.466806
475, -0.985217
476, 0.151287
477, -0.654706
478, -0.169600
479, -0.344714
480, 0.419870
481, -0.640270
482, 1.389008
483, -1.033330
484, 0.142751
485, 0.742340
486, -0.051716
487, -0.644925
488, -2.535802
489, -10.859617
490, 0.153034
491, -3.355271
492, 3.499829
493, -3.592781
494, 1.336184
495, 1.278155
496, 4.768829
497, -14.702667
498, 1.219117
499, -7.762892
500, 1.171362
501, -0.533390
502, 1.663015
503, -6.945065
504, -3.360415
505, 0.398401
506, 0.274535
507, -1.703857
508, 0.530786
509, -0.066676
510, 0.901985
511, -0.277460
512, 0.585938
513, 1.684789
514, 3.928285
515, -11.096517
516, 1.778832
517, -2.387342
518, -0.332723
519, -0.151423
520, 0.325542
521, -1.861252
522, 0.642191
523, -0.141319
524, 1.308978
525, -0.738118
526, 0.549612
527, -2.779691
528, 3.330882
529, -0.237738
530, 0.114096
531, 3.114460
532, -9.910033
533, -33.362254
534, 3.336417
535, -9.510369
536, -1.409667
537, -3.229786
538, 4.630855
539, -1.590404
540, -0.459859
541, -2.374063
542, -1.035358
543, 0.079762
544, 0.192219
545, -1.782012
546, 2.036801
547, -0.445949
548, 0.329876
549, -1.664240
550, 1.254839
551, -2.408655
552, -0.033426
553, -0.248517
554, 0.078235
555, 2.637129
556, 4.796210
557, -1.900943
558, 0.721246
559, -1.599100
560, 0.651184
561, -0.609932
562, -10.142702
563, -21.536063
564, 5.581431
565, -13.882790
566, 3.471155
567, 3.461470
568, 0.243360
569, -0.854040
570, 1.291211
571, -1.001334
572, 0.293932
573, -3.374705
574, 1.301406
575, -2.498468
576, 4.214867
577, -8.226935
578, -2.468460
579, -0.542879
580, 0.579928
581, -1.530555
582, 4.334512
583, -1.477823
584, 2.316093
585, -1.060893
586, -0.078106
587, -0.046238
588, 1.412188
589, -0.710622
590, 0.457620
591, -0.702913
592, 3.241546
593, -1.283151
594, 0.620640
595, -1.389557
596, 1.118217
597, -0.122932
598, 0.198869
599, -2.312017
600, -1.480941
601, -3.072615
602, -2.012668
603, -7.440006
604, 21.763930
605, -11.708165
606, 4.156316
607, 2.317500
608, -0.457495
609, 0.796129
610, 0.728412
611, -2.321373
612, 1.366859
613, -1.606849
614, 0.175610
615, 0.000765
616, 0.494468
617, -0.611730
618, 0.308315
619, 0.160823
620, 0.624798
621, -1.389302
622, 0.370119
623, -0.576466
624, 0.170781
625, -3.529753
626, 4.875677
627, -7.437081
628, 0.990618
629, -1.971794
630, 0.622130
631, -0.276365
632, -0.008298
633, -0.487598
634, 0.003462
635, -3.212656
636, 3.223308
637, 0.323423
638, 6.393598
639, -9.314419
640, 9.766282
641, 2.222092
642, 1.953646
643, -3.273962
644, -0.130418
645, -1.166442
646, 1.027798
647, -1.801689
648, 0.164863
649, -5.052052
650, 5.290517
651, 0.129107
652, 3.362649
653, -2.117467
654, 0.180133
655, -0.340338
656, 1.278969
657, -0.908587
658, -0.104468
659, -0.726749
660, 0.209986
661, -0.303291
662, 0.319396
663, -1.083059
664, -0.455653
665, 1.818482
666, 3.441816
667, 0.606587
668, 2.385835
669, -2.070604
670, -2.133317
671, -19.345595
672, 9.681652
673, -0.356249
674, 4.043084
675, -5.213904
676, 2.732731
677, -3.875795
678, 0.087365
679, -1.348694
680, 0.040690
681, -0.754315
682, 0.532438
683, -0.205966
684, 0.145791
685, -1.586481
686, 1.225766
687, -1.941223
688, 2.305185
689, -2.533974
690, 1.374217
691, -1.754659
692, 1.003230
693, -0.304728
694, 0.430254
695, -1.985745
696, 0.676356
697, -1.851942
698, -0.090163
699, -9.013431
700, 1.991087
701, 0.189813
702, 0.678385
703, -0.805374
704, -0.088209
705, 0.690654
706, 6.514493
707, 0.150070
708, 7.023121
709, -0.733965
710, 0.405104
711, -2.067479
712, 0.386650
713, 3.101050
714, 35.678730
715, 0.717380
716, 2.080866
717, 2.681102
718, -1.023946
719, -0.577880
720, -0.212357
721, -0.207847
722, 0.078344
723, -1.585264
724, -0.134157
725, -0.088955
726, -0.167060
727, 0.198317
728, 4.063194
729, -4.023464
730, 0.371104
731, -0.185496
732, -0.054939
733, -2.608523
734, 0.162108
735, 0.177116
736, -1.516826
737, 5.609019
738, 14.942088
739, -0.358402
740, 9.459239
741, -0.904125
742, 1.000519
743, -10.130752
744, 0.989722
745, -4.211291
746, 5.953398
747, -0.159241
748, 10.052497
749, 4.544027
750, -0.005541
751, 0.196297
752, 0.290411
753, 0.111813
754, 2.305801
755, -4.257603
756, 0.200639
757, -0.366954
758, -0.927729
759, -7.483056
760, 2.647624
761, -1.883376
762, 0.649774
763, -1.450807
764, 4.099142
765, 0.559970
766, 0.024281
767, -4.763613
768, -0.762925
769, -0.122486
770, -0.009675
771, -0.376800
772, -0.290631
773, 2.256843
774, 0.291331
775, -3.200818
776, 2.411508
777, -4.600844
778, 1.448014
779, -3.059281
780, 19.484731
781, -8.493753
782, -0.340318
783, -0.865041
784, 1.291084
785, -1.040508
786, 4.129849
787, 0.620099
788, 0.610571
789, -1.987365
790, 5.365359
791, -0.948469
792, 0.372978
793, 0.535051
794, -0.109371
795, -0.608794
796, 0.481820
797, -0.093076
798, 0.168628
799, 0.491182
800, 0.488429
801, -2.523377
802, 1.452871
803, -2.059075
804, -0.110494
805, 3.574139
806, 18.954611
807, 1.311397
808, 1.480178
809, -3.302353
810, 0.797416
811, -1.077175
812, -0.458024
813, -3.586900
814, 6.451022
815, -3.456151
